Select Printer,Printer Requested,Material 1 Qty,User Type,Material 1,Printed On,Print Time (Hours),Material_Category1
9,1,6.38,2,18,1,3,0
12,1,76.5,2,24,1,4,4
10,1,63.8,2,19,1,6,0
24,0,348.0,2,8,0,8,3
10,1,69.56,2,19,1,8,0
12,1,9.68,2,24,1,3,4
26,0,13.37,2,8,0,2,3
23,0,13.39,2,8,0,2,3
35,0,43.51,1,8,0,2,3
21,0,139.2,2,8,0,3,3
35,0,8.18,2,8,0,1,3
24,0,12.29,0,8,0,1,3
21,0,12.0,2,8,0,1,3
23,0,1.36,2,8,0,1,3
26,0,15.0,2,8,0,1,3
31,0,30.0,2,8,0,2,3
29,0,46.18,2,8,0,4,3
43,0,33.67,2,9,0,1,3
21,0,7.45,2,8,0,1,3
1,0,177.44,2,6,0,7,0
26,0,52.6,2,8,0,2,3
34,0,36.55,2,8,0,4,3
2,0,240.0,2,8,0,5,3
21,0,10.04,2,8,0,1,3
12,1,13.43,1,24,1,1,4
35,0,298.0,2,8,0,7,3
24,0,17.62,1,8,0,2,3
23,0,17.0,2,8,0,1,3
20,0,40.0,2,0,0,2,0
18,0,105.0,2,8,0,2,3
24,0,70.1,2,8,0,2,3
6,1,1.04,1,12,1,2,0
9,1,14.79,1,18,1,4,0
10,1,69.56,2,19,1,8,0
24,0,86.0,2,8,0,2,3
7,1,1.01,2,17,1,1,0
23,0,0.0,2,8,0,2,3
29,0,13.33,1,8,0,1,3
35,0,72.0,2,8,0,3,3
27,0,456.77,2,8,0,25,3
35,0,28.0,2,8,0,2,3
11,1,0.99,2,15,1,1,0
21,0,13.66,2,8,0,1,3
29,0,85.22,2,8,0,2,3
3,0,2.15,2,8,0,1,3
16,1,128.0,2,23,1,2,4
34,0,84.0,2,8,0,7,3
21,0,7.22,2,8,0,1,3
28,0,150.0,2,8,0,3,3
35,0,0.0,2,8,0,4,3
26,0,302.3,2,8,0,5,3
15,1,54.0,2,21,1,2,4
23,0,180.0,2,8,0,3,3
